District,Policy_Narrative,SHAP_Top_Driver,SHAP_Top_Value,SHAP_Top_Driver_Label,Tier,Tier_Label
Krishnagiri,Krishnagiri is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.50m in 2026 and 7.50m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 88% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is moderating depletion; non-linear depletion variability is moderating depletion. Recommended transition to Jowar could reduce water consumption by 72% per kilogram of output.,ARIMA_Fitted,0.0459284069015698,long-term structural decline trend,2,Plan Now (within 3 years)
Madurai,Madurai is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.26m in 2026 and 5.24m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 66% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward; Rice cultivation expansion is moderating depletion. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,-0.0442473627626896,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Mayiladuthurai,"Mayiladuthurai is classified as Tier 4 (Stable (canal-fed, low GW pressure)). The predicted groundwater depth is 1.75m in 2026 and 1.73m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 0% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.",ARIMA_Fitted,-0.0352057902187533,long-term structural decline trend,4,"Stable (canal-fed, low GW pressure)"
Nagapattinam,"Nagapattinam is classified as Tier 4 (Stable (canal-fed, low GW pressure)). The predicted groundwater depth is 2.86m in 2026 and 2.87m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 0% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward; non-linear depletion variability is moderating depletion. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.",ARIMA_Fitted,-0.0433956248964171,long-term structural decline trend,4,"Stable (canal-fed, low GW pressure)"
Namakkal,Namakkal is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 9.54m in 2026 and 9.51m by 2028. The water table is currently recovering at 0.29 metres per year. The district is 90% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Groundnut could reduce water consumption by 0% per kilogram of output.,ARIMA_Fitted,0.0896746163499524,long-term structural decline trend,1,Act Now (within 1 year)
Perambalur,Perambalur is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.06m in 2026 and 5.98m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 67% per kilogram of output.,LSTM_Memory,-0.0347387031714149,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Pudukkottai,Pudukkottai is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.08m in 2026 and 5.04m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 53% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 72% per kilogram of output.,ARIMA_Fitted,-0.0217109548281113,long-term structural decline trend,2,Plan Now (within 3 years)
Ramanathapuram,Ramanathapuram is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.15m in 2026 and 4.15m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 18% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Maize could reduce water consumption by 52% per kilogram of output.,ARIMA_Fitted,-0.0179350486836693,long-term structural decline trend,3,Monitor (3-5 year horizon)
Ranipet,Ranipet is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.85m in 2026 and 4.85m by 2028. The water table is currently recovering at 1.80 metres per year. The district is 95% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,ARIMA_Fitted,-0.0245494882634863,long-term structural decline trend,3,Monitor (3-5 year horizon)
Salem,Salem is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.19m in 2026 and 6.10m by 2028. The water table is currently recovering at 0.41 metres per year. The district is 99% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Groundnut could reduce water consumption by 0% per kilogram of output.,LSTM_Memory,-0.0339717842139104,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Sivaganga,Sivaganga is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.54m in 2026 and 4.41m by 2028. The water table is currently recovering at 0.11 metres per year. The district is 29% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Groundnut could reduce water consumption by 60% per kilogram of output.,LSTM_Memory,-0.0282938763582815,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
Thanjavur,Thanjavur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 3.34m in 2026 and 3.34m by 2028. The water table is currently recovering at 0.16 metres per year. The district is 36% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,ARIMA_Fitted,-0.0419649379699474,long-term structural decline trend,3,Monitor (3-5 year horizon)
The nilgiris,The nilgiris is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 2.44m in 2026 and 2.43m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 99% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,0.1140972194831942,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
Theni,Theni is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 9.07m in 2026 and 9.01m by 2028. The water table is currently recovering at 0.38 metres per year. The district is 77% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,-0.0686136657235317,cumulative seasonal depletion memory,1,Act Now (within 1 year)
Thenkasi,Thenkasi is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.39m in 2026 and 5.36m by 2028. The water table is currently recovering at 2.15 metres per year. The district is 56% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward; Groundnut cultivation share is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,0.0381551956898918,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Thiruvallur,Thiruvallur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.00m in 2026 and 4.01m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 89% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 72% per kilogram of output.,ARIMA_Fitted,-0.0377669163066578,long-term structural decline trend,3,Monitor (3-5 year horizon)
Thiruvarur,"Thiruvarur is classified as Tier 4 (Stable (canal-fed, low GW pressure)). The predicted groundwater depth is 2.91m in 2026 and 2.94m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 0% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 72% per kilogram of output.",LSTM_Memory,0.0567058500909237,cumulative seasonal depletion memory,4,"Stable (canal-fed, low GW pressure)"
Thoothukudi,Thoothukudi is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.64m in 2026 and 4.63m by 2028. The water table is currently recovering at 0.13 metres per year. The district is 51% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Groundnut could reduce water consumption by 17% per kilogram of output.,LSTM_Memory,0.0449662404009708,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
Tiruchirappalli,Tiruchirappalli is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.55m in 2026 and 6.54m by 2028. The water table is currently recovering at 0.18 metres per year. The district is 75% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 84% per kilogram of output.,LSTM_Memory,0.036002966287062,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Tirunelveli,Tirunelveli is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.68m in 2026 and 4.63m by 2028. The water table is currently recovering at 0.16 metres per year. The district is 47% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 72% per kilogram of output.,LSTM_Memory,-0.0449887255535973,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
Tirupathur,Tirupathur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.87m in 2026 and 4.76m by 2028. The water table is currently recovering at 2.95 metres per year. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward; cumulative seasonal depletion memory is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 60% per kilogram of output.,ARIMA_Fitted,-0.027476954038128,long-term structural decline trend,3,Monitor (3-5 year horizon)
Tiruppur,Tiruppur is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 9.33m in 2026 and 9.23m by 2028. The water table is currently recovering at 0.23 metres per year. The district is 77% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 43% per kilogram of output.,ARIMA_Fitted,0.0927298838274849,long-term structural decline trend,1,Act Now (within 1 year)
Tiruvannamalai,Tiruvannamalai is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 5.02m in 2026 and 4.90m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 94% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; Bajra cultivation share is moderating depletion. Recommended transition to Jowar could reduce water consumption by 72% per kilogram of output.,ARIMA_Fitted,-0.0302271176829148,long-term structural decline trend,3,Monitor (3-5 year horizon)
Vellore,Vellore is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.53m in 2026 and 5.42m by 2028. The water table is currently recovering at 0.26 metres per year. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 60% per kilogram of output.,LSTM_Memory,0.0284233656570433,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
Villupuram,Villupuram is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.85m in 2026 and 4.86m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 85% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; Groundnut cultivation share is moderating depletion. Recommended transition to Groundnut could reduce water consumption by 60% per kilogram of output.,LSTM_Memory,-0.0280495065823597,cumulative seasonal depletion memory,3,Monitor (3-5 year horizon)
Virudhunagar,Virudhunagar is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 7.94m in 2026 and 7.96m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 55% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 67% per kilogram of output.,LSTM_Memory,0.1845986058335482,cumulative seasonal depletion memory,2,Plan Now (within 3 years)
